Player,Team,Position,Pass Yards,Pass TD,Interceptions,Rush Yards,Rush TD,Receptions,Receiving Yards,Receiving TD
A.J. Brown,NE,WR,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0
AJ Barner,SEA,TE,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0
AJ Dillon,CAR,RB,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0
Aaron Jones Sr.,MIN,RB,0.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0
Aaron Rodgers,PIT,QB,221.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0
Adam Trautman,DEN,TE,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0
Adonai Mitchell,NYJ,WR,0.0,0.0,0.0,0.0,0.0,3.0,60.0,0.0
Alec Pierce,IND,WR,0.0,0.0,0.0,0.0,0.0,4.0,61.0,0.0
Ameer Abdullah,JAX,RB,0.0,0.0,0.0,32.0,0.0,1.0,0.0,0.0
Amon-Ra St. Brown,DET,WR,0.0,0.0,0.0,0.0,0.0,19.0,209.0,4.0
Andrei Iosivas,CIN,WR,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0
Antonio Williams,WSH,WR,0.0,0.0,0.0,0.0,0.0,4.0,64.0,1.0
Arian Smith,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashton Dulin,IND,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashton Jeanty,LV,RB,0.0,0.0,0.0,102.0,0.0,6.0,45.0,2.0
Baker Mayfield,TB,QB,216.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0
Barion Brown,NO,WR,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Bhayshul Tuten,JAX,RB,0.0,0.0,0.0,66.0,0.0,1.0,22.0,0.0
Bijan Robinson,ATL,RB,0.0,0.0,0.0,83.0,0.0,8.0,90.0,1.0
Blake Corum,LAR,RB,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0
Blake Whiteheart,CLE,TE,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0
Bo Melton,GB,WR,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0
Bo Nix,DEN,QB,131.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
Braelon Allen,NYJ,RB,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
Breece Hall,NYJ,RB,0.0,0.0,0.0,102.0,1.0,2.0,16.0,0.0
Brenton Strange,JAX,TE,0.0,0.0,0.0,0.0,0.0,2.0,23.0,1.0
Brevyn Spann-Ford,DAL,TE,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0
Brian Robinson Jr.,ATL,RB,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0
Brian Thomas Jr.,JAX,WR,0.0,0.0,0.0,0.0,0.0,3.0,40.0,0.0
Brock Purdy,SF,QB,205.0,3.0,1.0,29.0,0.0,0.0,0.0,0.0
Brock Wright,DET,TE,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0
Bryce Lance,NO,WR,0.0,0.0,0.0,0.0,0.0,3.0,42.0,0.0
Bryce Young,CAR,QB,361.0,3.0,1.0,10.0,1.0,0.0,0.0,0.0
Bucky Irving,TB,RB,0.0,0.0,0.0,45.0,1.0,7.0,48.0,0.0
C.J. Stroud,HOU,QB,274.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0
CJ Donaldson,NO,RB,0.0,0.0,0.0,4.0,0.0,1.0,-2.0,0.0
Cade Otton,TB,TE,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0
Cade Stover,HOU,TE,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0
Caleb Douglas,MIA,WR,0.0,0.0,0.0,0.0,0.0,5.0,94.0,0.0
