Team,Neutral Pass Rate,PROE Proxy,Red Zone Pass Rate,Red Zone Plays,4th Down Go Rate,4th Down Decisions,Neutral Script Plays
CAR,0.628,0.115,0.647,34,0.231,13,43
DEN,0.619,0.106,0.444,18,0.077,13,42
CIN,0.595,0.082,0.389,18,0.0,15,42
ARI,0.592,0.078,0.5,18,0.067,15,71
GB,0.59,0.077,0.621,29,0.24,25,61
NO,0.588,0.075,0.545,22,0.267,15,51
PIT,0.582,0.068,0.875,8,0.158,19,55
JAX,0.58,0.067,0.556,9,0.0,10,50
KC,0.577,0.064,0.5,28,0.267,15,71
DAL,0.566,0.053,0.526,19,0.0,6,53
HOU,0.557,0.044,0.667,21,0.316,19,70
TEN,0.55,0.037,0.353,17,0.067,15,40
LV,0.541,0.028,0.5,22,0.2,15,61
TB,0.511,-0.002,0.591,22,0.091,11,45
SF,0.509,-0.005,0.591,22,0.0,7,57
NYJ,0.507,-0.007,0.467,15,0.167,18,73
WSH,0.5,-0.013,0.556,27,0.143,14,44
IND,0.5,-0.013,0.389,18,0.214,14,46
BAL,0.5,-0.013,0.333,18,0.1,10,60
NYG,0.5,-0.013,0.471,17,0.182,11,52
LAR,0.485,-0.029,0.375,16,0.333,9,33
NE,0.483,-0.031,1.0,5,0.143,14,58
BUF,0.467,-0.047,0.476,21,0.125,8,45
CLE,0.464,-0.049,0.615,13,0.214,14,28
PHI,0.464,-0.05,0.412,17,0.083,12,69
DET,0.459,-0.054,0.536,28,0.143,14,37
MIA,0.44,-0.073,0.294,17,0.2,15,25
SEA,0.44,-0.073,0.333,27,0.286,14,50
CHI,0.439,-0.074,0.5,30,0.308,13,82
ATL,0.413,-0.1,0.143,14,0.095,21,75
LAC,0.381,-0.132,0.333,15,0.25,12,63
MIN,0.364,-0.15,0.467,15,0.067,15,33
