Defense,Position,Games Played,Players Faced,Pass Yards Allowed,Pass TD Allowed,Interceptions Forced,Rush Attempts Allowed,Rush Yards Allowed,Rush TD Allowed,Targets Allowed,Receptions Allowed,Receiving Yards Allowed,Receiving TD Allowed,PPR Points Allowed,Pass Yards Allowed Per Game,Pass TD Allowed Per Game,Interceptions Forced Per Game,Rush Attempts Allowed Per Game,Rush Yards Allowed Per Game,Rush TD Allowed Per Game,Targets Allowed Per Game,Receptions Allowed Per Game,Receiving Yards Allowed Per Game,Receiving TD Allowed Per Game,PPR Points Allowed Per Game,PPR Points Allowed Rank,Matchup Label
CAR,QB,1,1,269,2,0,10,65,2,0,0,0,0,37.26,269.0,2.0,0.0,10.0,65.0,2.0,0.0,0.0,0.0,0.0,37.26,1,QB vs CAR
HOU,QB,1,1,334,2,0,6,23,2,0,0,0,0,35.66,334.0,2.0,0.0,6.0,23.0,2.0,0.0,0.0,0.0,0.0,35.66,2,QB vs HOU
CHI,QB,1,2,361,3,1,3,34,1,0,0,0,0,33.84,361.0,3.0,1.0,3.0,34.0,1.0,0.0,0.0,0.0,0.0,33.84,3,QB vs CHI
IND,QB,1,1,324,1,0,7,40,1,0,0,0,0,26.96,324.0,1.0,0.0,7.0,40.0,1.0,0.0,0.0,0.0,0.0,26.96,4,QB vs IND
DAL,QB,1,1,230,3,0,11,54,0,0,0,0,0,26.6,230.0,3.0,0.0,11.0,54.0,0.0,0.0,0.0,0.0,0.0,26.6,5,QB vs DAL
CLE,QB,1,2,245,4,0,5,0,0,0,0,0,0,25.8,245.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,6,QB vs CLE
DET,QB,1,1,410,3,2,4,8,0,0,0,0,0,25.2,410.0,3.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,25.2,7,QB vs DET
WSH,QB,1,1,203,3,0,7,46,0,0,0,0,0,24.72,203.0,3.0,0.0,7.0,46.0,0.0,0.0,0.0,0.0,0.0,24.72,8,QB vs WSH
MIN,QB,1,1,387,2,1,1,0,0,0,0,0,0,21.48,387.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.48,9,QB vs MIN
LAR,QB,1,1,205,3,1,5,29,0,0,0,0,0,21.1,205.0,3.0,1.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,21.1,10,QB vs LAR
