Game ID,Week,Player,Team,Completions,Attempts,Pass Yards,Pass TD,Interceptions,Rush Attempts,Rush Yards,Rush TD,Total EPA,EPA/Play,Passer Rating
2026_01_ARI_LAC,1,J.Brissett,ARI,27,38,277,1,0,6,14,0,9.01,0.237,100.4
2026_01_ARI_LAC,1,J.Herbert,LAC,17,30,187,1,1,5,29,0,-5.61,-0.187,72.5
2026_01_ATL_PIT,1,A.Rodgers,PIT,24,42,206,1,0,3,-3,0,-7.84,-0.187,78.1
2026_01_ATL_PIT,1,C.Johnston,PIT,0,1,0,0,0,0,0,0,-1.84,-1.845,39.6
2026_01_ATL_PIT,1,C.Rush,ATL,12,26,118,1,2,0,0,0,-15.76,-0.606,40.2
2026_01_BAL_IND,1,D.Jones,IND,19,33,149,1,1,1,4,0,-9.61,-0.291,66.4
2026_01_BAL_IND,1,L.Jackson,BAL,17,27,304,1,0,7,40,1,10.34,0.383,113.8
2026_01_BUF_HOU,1,C.Stroud,HOU,26,41,257,2,0,2,15,0,1.5,0.036,97.3
2026_01_BUF_HOU,1,J.Allen,BUF,20,32,323,2,0,6,23,2,14.54,0.454,117.1
2026_01_CHI_CAR,1,B.Young,CAR,23,39,353,3,1,2,10,1,15.52,0.398,103.9
2026_01_CHI_CAR,1,C.Williams,CHI,21,31,261,2,0,10,65,2,18.57,0.599,115.1
2026_01_CHI_CAR,1,K.Pickett,CAR,0,1,0,0,0,1,24,0,-0.38,-0.381,39.6
2026_01_CLE_JAX,1,D.Watson,CLE,16,27,185,1,1,6,38,0,-5.56,-0.206,76.9
2026_01_CLE_JAX,1,T.Lawrence,JAX,18,24,234,4,0,2,3,0,19.02,0.793,144.8
2026_01_DAL_NYG,1,D.Prescott,DAL,22,34,175,2,1,2,14,0,10.38,0.305,84.8
2026_01_DAL_NYG,1,J.Dart,NYG,23,31,229,3,0,11,54,0,21.91,0.707,126.9
2026_01_DEN_KC,1,B.Nix,DEN,17,32,115,1,1,3,2,0,-14.38,-0.449,58.7
2026_01_DEN_KC,1,P.Mahomes,KC,15,29,172,2,1,7,23,1,-2.3,-0.079,78.5
2026_01_GB_MIN,1,C.Wentz,MIN,12,23,116,3,0,5,-1,0,4.99,0.217,106.2
2026_01_GB_MIN,1,J.Love,GB,21,46,353,2,1,1,0,0,-2.7,-0.059,77.5
2026_01_GB_MIN,1,K.Murray,MIN,3,5,18,0,1,2,9,0,-4.47,-0.894,27.5
2026_01_MIA_LV,1,K.Cousins,LV,21,30,160,3,2,5,-6,0,0.39,0.013,88.2
2026_01_MIA_LV,1,M.Willis,MIA,15,32,185,0,1,6,39,1,-5.49,-0.172,52.2
2026_01_NE_SEA,1,D.Lock,SEA,16,23,180,1,0,2,13,0,6.44,0.28,107.2
2026_01_NE_SEA,1,D.Maye,NE,23,36,168,1,3,7,47,0,-4.62,-0.128,49.3
2026_01_NE_SEA,1,S.Darnold,SEA,1,3,8,0,0,0,0,0,-2.08,-0.692,42.4
2026_01_NO_DET,1,J.Goff,DET,26,40,204,2,0,2,2,0,5.85,0.146,94.2
2026_01_NO_DET,1,T.Shough,NO,35,62,378,3,2,4,8,0,-1.01,-0.016,77.2
2026_01_NYJ_TEN,1,C.Ward,TEN,19,35,127,1,0,4,21,0,-7.35,-0.21,72.0
2026_01_NYJ_TEN,1,G.Smith,NYJ,19,24,215,0,0,6,7,0,9.75,0.406,104.0
2026_01_SF_LA,1,B.Purdy,SF,25,34,205,3,1,5,29,0,4.83,0.142,105.6
2026_01_SF_LA,1,M.Stafford,LA,15,25,155,0,1,2,-1,0,-5.61,-0.224,61.2
2026_01_SF_LA,1,S.Bennett,LA,2,3,13,0,0,1,9,0,0.19,0.063,75.7
