Game ID,Week,Team,Opponent,Home/Away,Final Score,Opponent Score,Total Yards,Total Plays,EPA/Play,Pass Completions,Pass Attempts,Pass Yards,EPA/Pass,Rush Attempts,Rush Yards,EPA/Rush,First Downs,Third Down Conversions,Third Down Attempts,Interceptions Thrown,Fumbles Lost,Sacks Taken,Sack Yards,Sack EPA,Penalties,Penalty Yards,Penalty EPA
2026_01_ARI_LAC,1,ARI,LAC,Away,26,14,393,72,0.117,27,38,277,0.237,34,116,-0.018,22,6,14,0,0,1,0,-1.6,8,111,2.08
2026_01_ARI_LAC,1,LAC,ARI,Home,14,26,268,51,-0.244,17,30,187,-0.187,21,81,-0.325,15,2,8,1,1,3,-22,-5.62,7,64,-2.47
2026_01_ATL_PIT,1,ATL,PIT,Away,13,20,238,57,-0.321,12,26,118,-0.606,31,120,-0.082,14,2,12,2,0,4,-25,-6.99,9,96,2.05
2026_01_ATL_PIT,1,PIT,ATL,Home,20,13,264,64,-0.311,24,43,206,-0.324,21,58,-0.285,13,3,13,0,1,2,-15,-2.98,7,52,2.02
2026_01_BAL_IND,1,BAL,IND,Away,41,23,506,64,0.266,17,27,304,0.383,37,202,0.18,23,3,9,0,1,2,-20,-7.44,10,86,-8.83
2026_01_BAL_IND,1,IND,BAL,Home,23,41,251,53,-0.241,19,33,149,-0.462,20,102,0.122,16,3,10,1,1,2,-17,-5.27,4,29,-1.05
2026_01_BUF_HOU,1,BUF,HOU,Away,36,31,409,53,0.225,20,32,323,0.454,21,86,-0.124,18,3,9,0,0,2,-11,-3.27,10,85,2.39
2026_01_BUF_HOU,1,HOU,BUF,Home,31,36,381,73,0.069,26,41,257,0.036,32,124,0.11,21,7,16,0,2,3,-17,-8.66,7,106,1.0
2026_01_CHI_CAR,1,CAR,CHI,Home,37,59,478,62,0.182,23,40,353,0.251,22,125,0.055,22,4,9,1,1,2,-8,-3.96,11,84,-5.79
2026_01_CHI_CAR,1,CHI,CAR,Away,59,37,552,70,0.409,21,31,261,0.449,39,291,0.378,24,10,14,0,1,2,-8,-2.49,12,57,0.92
2026_01_CLE_JAX,1,CLE,JAX,Away,10,34,272,49,-0.184,16,27,185,-0.364,22,87,0.037,14,1,8,1,1,5,-20,-8.62,11,75,-4.23
