Team,Player,Status,Injury
ARI,Max Melton,Questionable,Toe
ARI,Garrett Williams,Questionable,Achilles
ARI,Dadrion Taylor-Demerson,Questionable,Back
ARI,Andrew Billings,Active,"Billings (knee) did not appear on the Cardinals' injury report Wednesday, Josh Weinfuss of ESPN.com reports."
ARI,Starling Thomas V,Active,"The Cardinals signed Thomas to the active roster from their practice squad Wednesday, Darren Urban of the team's official site reports."
ARI,Hjalte Froholdt,Questionable,Knee
ARI,Roy Lopez,Questionable,Groin
ARI,Will Johnson,Injured Reserve,Neck
ARI,Mack Wilson Sr.,Active,Wilson recorded nine tackles (four solo) in Sunday's loss to the Seahawks.
ARI,Budda Baker,Active,"Baker recorded 11 tackles (seven solo), including 1.0 sacks, and a pass breakup in Sunday's loss to the Seahawks."
ARI,Kendrick Bourne,Active,Bourne caught two of his three targets for 11 yards in Sunday's 31-7 loss to the Seahawks.
ARI,Chad Ryland,Active,Ryland did not have any field-goal tries but converted on his only extra-point attempt during Sunday's 31-7 loss versus the Seahawks.
ARI,Josh Fryar,Active,
ARI,Tyler Allgeier,Active,Allgeier turned five carries into 10 yards and caught both of his targets for nine yards in Sunday's 31-7 loss to the Seahawks.
ARI,Jacoby Brissett,Active,Brissett completed 17 of 28 passes for 95 yards with a touchdown and an interception while also adding a seven-yard rush in Sunday's 31-7 loss to Seattle.
ARI,Marvin Harrison Jr.,Active,Harrison failed to catch his only target in Sunday's 31-7 loss to the Seahawks.
ARI,Michael Wilson,Active,Wilson caught two of seven targets for 18 yards in Sunday's 31-7 loss to the Seahawks.
ARI,Jeremiyah Love,Active,Love rushed nine times for 29 yards while catching all three of his targets for 16 yards in Sunday's 31-7 loss to Seattle.
ARI,Trey McBride,Active,McBride caught eight of nine targets for 41 yards and a touchdown during Sunday's 31-7 loss to Seattle.
ARI,Isaac Seumalo,Active,Seumalo (shoulder) is active for Sunday's game against Seattle.
ARI,Isaiah Adams,Active,Adams (knee) is active for Sunday's game against the Seahawks.
ARI,Carson Beck,Active,"Beck (coach's decision) is inactive but will serve as the emergency third quarterback against the Seahawks on Sunday, Darren Urban of the Cardinals' official site reports."
ARI,Reggie Virgil,Active,Virgil (coach's decision) is inactive for Sunday's game against the Seahawks.
ARI,Jack Gibbens,Active,"Gibbens (shoulder) does not have an injury designation ahead of Sunday's game against the Seahawks, Tyler Drake of ArizonaSports.com reports."
ARI,Cody Simon,Active,
ATL,Jack Strand,Out,Coach's Decision
ATL,Billy Bowman Jr.,Active,Bowman (Achilles) is available for Thursday's game versus the Packers.
ATL,Cooper Rush,Out,Coach's Decision
ATL,Robert Longerbeam,Out,Coach's Decision
ATL,Ethan Onianwa,Out,Coach's Decision
ATL,Malcolm DeWalt IV,Out,Coach's Decision
ATL,Samson Ebukam,Out,Hamstring
ATL,Jawaan Taylor,Active,"Taylor (ribs) was a full participant in Tuesday's practice, Tori McElhaney of the Falcons' official site reports."
ATL,Zach Harrison,Active,"The Falcons signed Harrison to the active roster from their practice squad Tuesday, Tori McElhaney of the team's official site reports."
ATL,Nick Muse,Active,"Muse (shoulder) was a full participant in Tuesday's practice, Tori McElhaney of the Falcons' official site reports."
ATL,Brandon Dorlus,Active,"Dorlus (thumb) was a full participant in Tuesday's practice, Tori McElhaney of the Falcons' official site reports."
