Player,Team,Position,Stat,Current Total,Milestone,Remaining
A.J. Brown,NE,WR,Receptions,449,450,1
Amon-Ra St. Brown,DET,WR,Receptions,449,450,1
Josh Downs,IND,WR,Receptions,149,150,1
A.J. Brown,NE,WR,Receiving TD,49,50,1
Brenton Strange,JAX,TE,Receptions,49,50,1
Daniel Jones,IND,QB,Interceptions,49,50,1
Deshaun Watson,CLE,QB,Interceptions,49,50,1
Kayshon Boutte,HOU,WR,Receptions,49,50,1
Jacoby Brissett,ARI,QB,Rush Yards,998,1000,2
Foster Moreau,HOU,TE,Receptions,148,150,2
Jonathan Taylor,IND,RB,Receptions,148,150,2
Justice Hill,BAL,RB,Receptions,98,100,2
Marcus Mariota,WSH,QB,Pass TD,98,100,2
Rashid Shaheed,SEA,WR,Receptions,98,100,2
Sam Darnold,SEA,QB,Pass TD,98,100,2
DK Metcalf,PIT,WR,Receiving TD,48,50,2
Eric Saubert,SEA,TE,Receptions,48,50,2
Ja'Marr Chase,CIN,WR,Receiving TD,48,50,2
Jalen Coker,CAR,WR,Receptions,48,50,2
Justin Herbert,LAC,QB,Interceptions,48,50,2
Kyle Williams,NE,WR,Receptions,48,50,2
Saquon Barkley,PHI,RB,Rush TD,48,50,2
Rhamondre Stevenson,NE,RB,Receiving Yards,997,1000,3
Drake London,ATL,WR,Receptions,247,250,3
Adam Trautman,DEN,TE,Receptions,97,100,3
Geno Smith,NYJ,QB,Interceptions,72,75,3
Joe Burrow,CIN,QB,Interceptions,47,50,3
Trevor Lawrence,JAX,QB,Interceptions,47,50,3
DK Metcalf,PIT,WR,Receptions,446,450,4
Mark Andrews,BAL,TE,Receptions,446,450,4
Jakobi Meyers,JAX,WR,Receptions,396,400,4
Dawson Knox,BUF,TE,Receptions,196,200,4
Quentin Johnston,LAC,WR,Receptions,96,100,4
George Kittle,SF,TE,Receiving TD,46,50,4
Mike Evans,SF,WR,Receptions,845,850,5
Rashod Bateman,BAL,WR,Receptions,145,150,5
C.J. Stroud,HOU,QB,Pass TD,45,50,5
Greg Dulcich,MIA,TE,Receptions,45,50,5
Skyy Moore,GB,WR,Receptions,45,50,5
Bryce Young,CAR,QB,Interceptions,20,25,5
Mason Rudolph,PIT,QB,Interceptions,20,25,5
George Kittle,SF,TE,Receptions,544,550,6
Kirk Cousins,LV,QB,Pass TD,294,300,6
Jared Goff,DET,QB,Interceptions,94,100,6
Jalen Nailor,LV,WR,Receptions,44,50,6
Mac Jones,SF,QB,Interceptions,44,50,6
D'Andre Swift,CHI,RB,Receptions,243,250,7
Joe Burrow,CIN,QB,Pass TD,143,150,7
Sam Darnold,SEA,QB,Interceptions,68,75,7
Tyquan Thornton,KC,WR,Receptions,43,50,7
Aaron Rodgers,PIT,QB,Interceptions,117,125,8
Michael Wilson,ARI,WR,Receptions,92,100,8
Carson Wentz,MIN,QB,Interceptions,67,75,8
Justin Jefferson,MIN,WR,Receiving TD,42,50,8
C.J. Stroud,HOU,QB,Interceptions,17,25,8
Jayden Daniels,WSH,QB,Rush Yards,991,1000,9
Baker Mayfield,TB,QB,Interceptions,91,100,9
CeeDee Lamb,DAL,WR,Receiving TD,41,50,9
Jalen Hurts,PHI,QB,Interceptions,41,50,9
Calvin Ridley,TEN,WR,Receptions,390,400,10
Garrett Wilson,NYJ,WR,Receptions,290,300,10
Matthew Stafford,LAR,QB,Interceptions,190,200,10
Chris Moore,BAL,WR,Receptions,140,150,10
Colby Parkinson,LAR,TE,Receptions,90,100,10
Jalen Hurts,PHI,QB,Pass TD,90,100,10
Ladd McConkey,LAC,WR,Receptions,90,100,10
Calvin Ridley,TEN,WR,Receiving TD,40,50,10
Hunter Henry,NE,TE,Receiving TD,40,50,10
T.J. Hockenson,MIN,TE,Receptions,389,400,11
Dalton Schultz,HOU,TE,Receptions,339,350,11
Puka Nacua,LAR,WR,Receptions,189,200,11
Justin Herbert,LAC,QB,Pass TD,139,150,11
Jameson Williams,DET,WR,Receptions,89,100,11
Tommy Tremble,CAR,TE,Receptions,89,100,11
Bo Nix,DEN,QB,Interceptions,14,25,11
Cooper Rush,ATL,QB,Interceptions,14,25,11
Drake Maye,NE,QB,Interceptions,14,25,11
Kenny Pickett,CAR,QB,Interceptions,14,25,11
Cooper Kupp,SEA,WR,Receptions,638,650,12
Tee Higgins,CIN,WR,Receptions,338,350,12
Trey McBride,ARI,TE,Receptions,238,250,12
Drew Lock,SEA,QB,Pass TD,38,50,12
Jeremy Ruckert,NYJ,TE,Receptions,38,50,12
Kenneth Walker III,KC,RB,Receptions,38,50,12
Luke Farrell,SF,TE,Receptions,38,50,12
Terry McLaurin,WSH,WR,Receiving TD,38,50,12
Jameis Winston,NYG,QB,Interceptions,112,125,13
Amon-Ra St. Brown,DET,WR,Receiving TD,37,50,13
Emari Demercado,DAL,RB,Receptions,37,50,13
Josh Allen,BUF,QB,Pass Yards,26986,27000,14
Tucker Kraft,GB,TE,Receptions,86,100,14
Tyjae Spears,TEN,RB,Receptions,86,100,14
Keon Coleman,BUF,WR,Receptions,36,50,14
Luke Schoonmaker,DAL,TE,Receptions,36,50,14
Jordan Addison,MIN,WR,Receptions,135,150,15
Dontayvion Wicks,PHI,WR,Receptions,85,100,15
Aaron Rodgers,PIT,QB,Rush TD,35,50,15
Ashton Dulin,IND,WR,Receptions,35,50,15
Courtland Sutton,DEN,WR,Receptions,384,400,16
Jaylen Warren,PIT,RB,Receptions,134,150,16
Josh Allen,BUF,QB,Interceptions,84,100,16
De'Von Achane,MIA,RB,Receptions,34,50,16
Lamar Jackson,BAL,QB,Rush TD,34,50,16
Nick Mullens,JAX,QB,Pass TD,34,50,16
Tee Higgins,CIN,WR,Receiving TD,34,50,16
Jayden Daniels,WSH,QB,Interceptions,9,25,16
Christian McCaffrey,SF,RB,Receptions,533,550,17
George Pickens,DAL,WR,Receptions,183,200,17
Samaje Perine,CIN,RB,Receptions,183,200,17
Durham Smythe,BAL,TE,Receptions,133,150,17
Dak Prescott,DAL,QB,Interceptions,83,100,17
Kyler Murray,MIN,QB,Interceptions,58,75,17
Malik Washington,MIA,WR,Receptions,33,50,17
Evan Engram,DEN,TE,Receiving Yards,4982,5000,18
Wan'Dale Robinson,TEN,WR,Receptions,182,200,18
Khalil Shakir,BUF,WR,Receptions,132,150,18
Adonai Mitchell,NYJ,WR,Receptions,32,50,18
Bryce Young,CAR,QB,Pass TD,32,50,18
Courtland Sutton,DEN,WR,Receiving TD,32,50,18
D'Andre Swift,CHI,RB,Rush TD,32,50,18
Caleb Williams,CHI,QB,Interceptions,7,25,18
Keenan Allen,IND,WR,Receptions,981,1000,19
Matthew Stafford,LAR,QB,Pass TD,381,400,19
Darnell Mooney,NYG,WR,Receptions,281,300,19
