Player,Team,RZ Targets,RZ Receptions,RZ Rec TD,RZ Rush Attempts,RZ Rush TD,RZ Target Share,RZ Rush Share
A.St. Brown,DET,6,5,3,0,0,0.4,0.0
Jaxon Smith-Njigba,SEA,6,3,2,0,0,0.667,0.0
Trey McBride,ARI,6,2,2,0,0,0.667,0.0
Jalen Coker,CAR,5,4,1,0,0,0.227,0.0
Ashton Jeanty,LV,4,4,2,9,0,0.364,0.818
Isaiah Likely,NYG,4,4,2,0,0,0.5,0.0
Justin Jefferson,MIN,4,2,1,0,0,0.571,0.0
Sam LaPorta,DET,4,3,1,0,0,0.267,0.0
Juwan Johnson,NO,4,2,1,0,0,0.333,0.0
Tetairoa McMillan,CAR,4,1,0,0,0,0.182,0.0
Stefon Diggs,WSH,4,4,3,0,0,0.267,0.0
Xavier Worthy,KC,4,4,1,0,0,0.286,0.0
Jake Ferguson,DAL,3,3,2,0,0,0.3,0.0
D.Samuel,SF,3,3,1,0,0,0.231,0.0
Elic Ayomanor,TEN,3,1,1,0,0,0.5,0.0
Christian Watson,GB,3,2,2,0,0,0.3,0.0
CeeDee Lamb,DAL,3,3,2,0,0,0.3,0.0
Khalil Shakir,BUF,3,1,0,0,0,0.3,0.0
Matthew Golden,GB,3,1,0,0,0,0.3,0.0
Javonte Williams,DAL,3,2,1,6,1,0.3,0.667
George Kittle,SF,3,3,1,0,0,0.231,0.0
Kenneth Walker III,KC,3,2,1,8,0,0.214,0.571
Tyler Warren,IND,3,3,2,0,0,0.429,0.0
Gunnar Helm,TEN,2,1,0,0,0,0.333,0.0
James Cook III,BUF,2,1,0,6,1,0.2,0.545
John Bates,WSH,2,0,0,0,0,0.133,0.0
Jahmyr Gibbs,DET,2,2,1,11,2,0.133,0.846
Ja'Kobi Lane,BAL,2,1,0,0,0,0.333,0.0
Jack Bech,LV,2,2,1,0,0,0.182,0.0
Cody White,LV,2,2,2,0,0,0.182,0.0
Courtland Sutton,DEN,2,1,0,0,0,0.25,0.0
Cade Otton,TB,2,2,0,0,0,0.154,0.0
Christian McCaffrey,SF,2,2,0,6,2,0.154,0.667
Dallas Goedert,PHI,2,1,1,0,0,0.286,0.0
Devaughn Vele,NO,2,1,1,0,0,0.167,0.0
Darren Waller,CAR,2,2,2,0,0,0.091,0.0
Dontayvion Wicks,PHI,2,2,1,0,0,0.286,0.0
Denzel Boston,CLE,2,0,0,0,0,0.25,0.0
Devin Singletary,NYG,2,2,1,1,0,0.25,0.111
Josh Downs,IND,2,2,0,0,0,0.286,0.0
Ja'Marr Chase,CIN,2,1,1,0,0,0.286,0.0
Demarcus Robinson,SF,2,1,0,0,0,0.154,0.0
Braelon Allen,NYJ,2,1,0,1,1,0.286,0.125
Emeka Egbuka,TB,2,1,1,0,0,0.154,0.0
Colston Loveland,CHI,2,0,0,0,0,0.133,0.0
Brenton Strange,JAX,2,2,1,0,0,0.4,0.0
Chuba Hubbard,CAR,2,2,2,6,1,0.091,0.5
Bucky Irving,TB,2,2,0,3,1,0.154,0.333
Antonio Williams,WSH,2,2,1,0,0,0.133,0.0
Jaylen Warren,PIT,2,1,0,0,0,0.286,0.0
Keon Coleman,BUF,2,1,0,0,0,0.2,0.0
Nico Collins,HOU,2,1,1,0,0,0.143,0.0
Malik Nabers,NYG,2,1,0,0,0,0.25,0.0
Mike Evans,SF,2,2,1,0,0,0.154,0.0
MarShawn Lloyd,GB,2,1,1,3,0,0.2,0.375
Mitchell Evans,CAR,2,1,0,0,0,0.091,0.0
Luther Burden III,CHI,2,1,0,0,0,0.133,0.0
Ted Hurst III,TB,2,1,0,0,0,0.154,0.0
T.J. Hockenson,MIN,2,1,1,0,0,0.286,0.0
Tez Johnson,TB,2,0,0,0,0,0.154,0.0
Terry McLaurin,WSH,2,1,0,0,0,0.133,0.0
T.Etienne,NO,2,2,0,2,0,0.167,0.2
Woody Marks,HOU,2,2,0,1,0,0.143,0.143
Rashee Rice,KC,2,2,1,0,0,0.143,0.0
Pat Freiermuth,PIT,2,2,1,0,0,0.286,0.0
Mike Gesicki,CIN,2,1,1,0,0,0.286,0.0
Ladd McConkey,LAC,2,1,1,0,0,0.4,0.0
Kalif Raymond,CHI,2,2,0,0,0,0.133,0.0
KC Concepcion,CLE,2,2,0,0,0,0.25,0.0
Eric Saubert,SEA,1,1,0,0,0,0.111,0.0
Eli Raridon,NE,1,1,1,0,0,0.2,0.0
Chase Brown,CIN,1,1,0,6,1,0.143,0.545
Adonai Mitchell,NYJ,1,1,0,0,0,0.143,0.0
Andrei Iosivas,CIN,1,1,0,0,0,0.143,0.0
Caleb Douglas,MIA,1,1,0,0,0,0.2,0.0
Bhayshul Tuten,JAX,1,1,0,2,1,0.2,0.5
Blake Whiteheart,CLE,1,1,1,0,0,0.125,0.0
Bryce Lance,NO,1,0,0,0,0,0.083,0.0
Alec Pierce,IND,1,1,0,0,0,0.143,0.0
Alvin Kamara,NO,1,1,0,1,0,0.083,0.1
David Montgomery,HOU,1,1,1,6,2,0.071,0.857
Jeremy Ruckert,NYJ,1,1,0,0,0,0.143,0.0
Jalen Royals,KC,1,1,1,0,0,0.071,0.0
Jayden Reed,GB,1,0,0,0,0,0.1,0.0
Jalen Nailor,LV,1,0,0,0,0,0.091,0.0
Jeremiyah Love,ARI,1,0,0,5,1,0.111,0.556
Josh Cameron,JAX,1,1,1,0,0,0.2,0.0
Germie Bernard,PIT,1,0,0,0,0,0.143,0.0
Emanuel Wilson,SEA,1,0,0,7,0,0.111,0.389
Garrett Wilson,NYJ,1,1,1,0,0,0.143,0.0
George Pickens,DAL,1,1,0,0,0,0.1,0.0
George Holani,SEA,1,1,0,5,0,0.111,0.278
Hunter Henry,NE,1,1,0,0,0,0.2,0.0
Isaiah Williams,NYJ,1,1,0,0,0,0.143,0.0
Isaac TeSlaa,DET,1,0,0,0,0,0.067,0.0
Jordan Addison,MIN,1,0,0,0,0,0.143,0.0
Jonathon Brooks,CAR,1,1,0,3,0,0.045,0.25
Greg Dulcich,MIA,1,0,0,0,0,0.2,0.0
Dawson Knox,BUF,1,1,1,0,0,0.1,0.0
Dalton Kincaid,BUF,1,1,1,0,0,0.1,0.0
Darius Cooper,PHI,1,1,1,0,0,0.143,0.0
Davante Adams,LAR,1,1,1,0,0,0.167,0.0
Dyami Brown,WSH,1,0,0,0,0,0.067,0.0
Chris Olave,NO,1,1,0,0,0,0.083,0.0
Colby Parkinson,LAR,1,1,0,0,0,0.167,0.0
D'Andre Swift,CHI,1,1,0,8,2,0.067,0.533
Durham Smythe,BAL,1,1,0,0,0,0.167,0.0
DeVonta Smith,PHI,1,0,0,0,0,0.143,0.0
Drew Sample,CIN,1,1,0,0,0,0.143,0.0
David Njoku,LAC,1,1,0,0,0,0.2,0.0
Evan Engram,DEN,1,1,1,0,0,0.125,0.0
Kyle Juszczyk,SF,1,1,1,0,0,0.077,0.0
Kyle Monangai,CHI,1,1,0,3,0,0.067,0.2
Nate Adkins,DEN,1,1,1,0,0,0.125,0.0
Michael Mayer,LV,1,0,0,0,0,0.091,0.0
Mack Hollins,NE,1,0,0,0,0,0.2,0.0
Mark Andrews,BAL,1,0,0,0,0,0.167,0.0
L.Allen,JAX,1,0,0,0,0,0.2,0.0
Kyren Williams,LAR,1,1,1,6,1,0.167,0.6
Jahdae Walker,CHI,1,1,1,0,0,0.067,0.0
Jaylen Waddle,DEN,1,1,0,0,0,0.125,0.0
Kendrick Bourne,ARI,1,1,0,0,0,0.111,0.0
Keenan Allen,IND,1,1,0,0,0,0.143,0.0
Jameson Williams,DET,1,1,0,0,0,0.067,0.0
Jared Wayne,HOU,1,1,0,0,0,0.071,0.0
Kenny Gainwell,TB,1,1,0,1,0,0.077,0.111
Kayshon Boutte,HOU,1,0,0,0,0,0.071,0.0
Puka Nacua,LAR,1,1,0,0,0,0.167,0.0
Oronde Gadsden,LAC,1,1,1,0,0,0.2,0.0
Troy Franklin,DEN,1,0,0,0,0,0.125,0.0
Terrance Ferguson,LAR,1,1,1,0,0,0.167,0.0
Tyler Badie,DEN,1,0,0,0,0,0.125,0.0
Tyler Allgeier,ARI,1,1,0,3,0,0.111,0.333
Skyy Moore,GB,1,0,0,0,0,0.1,0.0
Sam Roush,CHI,1,0,0,0,0,0.067,0.0
Rashod Bateman,BAL,1,0,0,0,0,0.167,0.0
Rachaad White,WSH,1,1,0,3,0,0.067,0.25
Noah Fant,NO,1,1,1,0,0,0.083,0.0
Travis Kelce,KC,1,1,1,0,0,0.071,0.0
Tommy Tremble,CAR,1,1,0,0,0,0.045,0.0
Tre Tucker,LV,1,0,0,0,0,0.091,0.0
Xavier Hutchinson,HOU,1,0,0,0,0,0.071,0.0
Xavier Legette,CAR,1,0,0,0,0,0.045,0.0
Xavier Smith,LAR,1,0,0,0,0,0.167,0.0
AJ Barner,SEA,0,0,0,1,1,0.0,0.056
A.Jones,MIN,0,0,0,4,1,0.0,0.5
Breece Hall,NYJ,0,0,0,5,1,0.0,0.625
Baker Mayfield,TB,0,0,0,5,1,0.0,0.556
Bo Nix,DEN,0,0,0,4,0,0.0,0.4
