Played SOS Rank,Team,Games Played,Opponents Played,Opponent Combined Wins,Opponent Combined Losses,Opponent Combined Ties,Played SOS,Opponent TD Made Per Game,Opponent TD Allowed Per Game,Opponent Combined Record
1,CLE,1,JAX,1,0,0,1.0,4.0,1.0,1-0-0
2,CAR,1,CHI,1,0,0,1.0,8.0,5.0,1-0-0
3,DEN,1,KC,1,0,0,1.0,4.0,1.0,1-0-0
4,DAL,1,NYG,1,0,0,1.0,4.0,3.0,1-0-0
5,IND,1,BAL,1,0,0,1.0,5.0,3.0,1-0-0
6,GB,1,MIN,1,0,0,1.0,5.0,2.0,1-0-0
7,MIA,1,LV,1,0,0,1.0,3.0,1.0,1-0-0
8,LAR,1,SF,1,0,0,1.0,3.0,1.0,1-0-0
9,TEN,1,NYJ,1,0,0,1.0,2.0,1.0,1-0-0
10,HOU,1,BUF,1,0,1,0.75,10.0,8.0,1-0-1
11,DET,2,"BUF, NO",1,0,2,0.625,3.5,3.0,1-0-2
12,ATL,1,PIT,0,0,1,0.5,1.0,1.0,0-0-1
13,LAC,1,ARI,0,0,1,0.5,2.0,2.0,0-0-1
14,ARI,1,LAC,0,0,1,0.5,2.0,2.0,0-0-1
15,CIN,1,TB,0,0,1,0.5,2.0,2.0,0-0-1
16,PIT,1,ATL,0,0,1,0.5,1.0,1.0,0-0-1
17,WSH,1,PHI,0,0,1,0.5,3.0,3.0,0-0-1
18,TB,1,CIN,0,0,1,0.5,2.0,2.0,0-0-1
19,PHI,1,WSH,0,0,1,0.5,3.0,3.0,0-0-1
20,NE,1,SEA,0,0,1,0.5,1.0,1.0,0-0-1
21,SEA,1,NE,0,0,1,0.5,1.0,1.0,0-0-1
22,BUF,2,"DET, HOU",0,1,2,0.375,3.0,3.5,0-1-2
23,NO,1,DET,0,1,1,0.25,8.0,10.0,0-1-1
24,CHI,1,CAR,0,1,0,0.0,5.0,8.0,0-1-0
25,KC,1,DEN,0,1,0,0.0,1.0,4.0,0-1-0
26,JAX,1,CLE,0,1,0,0.0,1.0,4.0,0-1-0
27,BAL,1,IND,0,1,0,0.0,3.0,5.0,0-1-0
28,LV,1,MIA,0,1,0,0.0,1.0,3.0,0-1-0
29,NYG,1,DAL,0,1,0,0.0,3.0,4.0,0-1-0
30,MIN,1,GB,0,1,0,0.0,2.0,5.0,0-1-0
31,NYJ,1,TEN,0,1,0,0.0,1.0,2.0,0-1-0
32,SF,1,LAR,0,1,0,0.0,1.0,3.0,0-1-0
