Team,Games Played,EPA/Play,Success Rate,Pass EPA/Play,Rush EPA/Play,Last3 EPA/Play,Last3 Success Rate,Side
NYG,2,0.257,0.509,0.46,-0.102,0.257,0.509,Defense
DET,2,0.205,0.506,0.232,0.151,0.205,0.506,Defense
IND,2,0.202,0.507,0.276,0.098,0.202,0.507,Defense
DAL,2,0.191,0.54,0.333,-0.003,0.191,0.54,Defense
BUF,2,0.166,0.486,0.295,-0.076,0.166,0.486,Defense
MIA,2,0.149,0.478,0.432,-0.15,0.149,0.478,Defense
WSH,2,0.131,0.454,0.306,-0.204,0.131,0.454,Defense
GB,3,0.102,0.471,0.231,-0.055,0.102,0.471,Defense
HOU,2,0.081,0.357,0.274,-0.256,0.081,0.357,Defense
TEN,2,0.08,0.436,0.236,-0.081,0.08,0.436,Defense
PHI,2,0.052,0.423,0.097,0.0,0.052,0.423,Defense
CHI,2,0.042,0.417,0.161,-0.131,0.042,0.417,Defense
DEN,2,0.039,0.429,-0.07,0.175,0.039,0.429,Defense
CLE,2,0.032,0.471,0.073,-0.024,0.032,0.471,Defense
LAC,2,0.031,0.424,0.252,-0.26,0.031,0.424,Defense
NO,2,0.027,0.522,0.043,0.002,0.027,0.522,Defense
TB,2,0.009,0.462,0.151,-0.224,0.009,0.462,Defense
ARI,2,0.008,0.448,0.205,-0.226,0.008,0.448,Defense
BAL,2,-0.025,0.438,-0.06,0.036,-0.025,0.438,Defense
JAX,2,-0.026,0.455,0.031,-0.109,-0.026,0.455,Defense
CAR,2,-0.045,0.444,-0.077,-0.003,-0.045,0.444,Defense
KC,2,-0.047,0.435,-0.109,0.049,-0.047,0.435,Defense
ATL,3,-0.062,0.378,0.03,-0.312,-0.062,0.378,Defense
LAR,2,-0.08,0.439,-0.103,-0.048,-0.08,0.439,Defense
SF,2,-0.12,0.417,-0.071,-0.177,-0.12,0.417,Defense
NYJ,2,-0.144,0.376,-0.051,-0.378,-0.144,0.376,Defense
MIN,2,-0.159,0.348,-0.042,-0.365,-0.159,0.348,Defense
SEA,2,-0.17,0.38,-0.026,-0.432,-0.17,0.38,Defense
CIN,2,-0.173,0.415,-0.131,-0.31,-0.173,0.415,Defense
NE,2,-0.175,0.387,-0.197,-0.134,-0.175,0.387,Defense
PIT,2,-0.207,0.398,-0.346,-0.065,-0.207,0.398,Defense
LV,2,-0.275,0.344,-0.131,-0.496,-0.275,0.344,Defense
BUF,2,0.368,0.512,0.534,0.095,0.368,0.512,Offense
SF,2,0.273,0.557,0.516,-0.033,0.273,0.557,Offense
DAL,2,0.251,0.522,0.442,-0.174,0.251,0.522,Offense
KC,2,0.161,0.479,0.147,0.182,0.161,0.479,Offense
BAL,2,0.157,0.537,0.184,0.119,0.157,0.537,Offense
JAX,2,0.121,0.518,0.227,-0.001,0.121,0.518,Offense
CHI,2,0.115,0.426,0.249,-0.062,0.115,0.426,Offense
DET,2,0.114,0.472,0.27,-0.133,0.114,0.472,Offense
SEA,2,0.098,0.445,0.401,-0.181,0.098,0.445,Offense
CAR,2,0.084,0.436,0.256,-0.232,0.084,0.436,Offense
NO,2,0.069,0.442,0.121,-0.049,0.069,0.442,Offense
WSH,2,0.045,0.461,0.112,-0.064,0.045,0.461,Offense
PHI,2,0.035,0.372,0.155,-0.142,0.035,0.372,Offense
NYG,2,0.014,0.452,0.091,-0.08,0.014,0.452,Offense
IND,2,0.011,0.462,-0.093,0.159,0.011,0.462,Offense
NYJ,2,0.011,0.431,0.205,-0.238,0.011,0.431,Offense
MIN,2,0.006,0.368,0.139,-0.138,0.006,0.368,Offense
LAR,2,0.004,0.483,0.117,-0.139,0.004,0.483,Offense
ARI,2,-0.033,0.426,0.049,-0.169,-0.033,0.426,Offense
TEN,2,-0.046,0.427,-0.079,0.01,-0.046,0.427,Offense
CIN,2,-0.051,0.393,-0.023,-0.094,-0.051,0.393,Offense
LV,2,-0.062,0.392,0.13,-0.27,-0.062,0.392,Offense
NE,2,-0.068,0.419,0.051,-0.24,-0.068,0.419,Offense
HOU,2,-0.084,0.411,-0.02,-0.239,-0.084,0.411,Offense
CLE,2,-0.089,0.439,0.06,-0.349,-0.089,0.439,Offense
GB,3,-0.099,0.368,0.033,-0.448,-0.099,0.368,Offense
DEN,2,-0.103,0.422,-0.076,-0.148,-0.103,0.422,Offense
MIA,2,-0.124,0.374,-0.042,-0.257,-0.124,0.374,Offense
TB,2,-0.145,0.438,-0.242,0.06,-0.145,0.438,Offense
ATL,3,-0.162,0.455,-0.353,0.025,-0.162,0.455,Offense
LAC,2,-0.241,0.369,-0.079,-0.482,-0.241,0.369,Offense
PIT,2,-0.286,0.363,-0.338,-0.156,-0.286,0.363,Offense
