Team,Games Played,Pass Yards,Pass TD,Rush Attempts,Rush Yards,Rush TD,Receptions,Receiving Yards,Receiving TD,Targets,PPR Points,Offensive Yards,Total TD Made,Pass Yards Allowed,Passing TD Allowed,Rush Attempts Allowed,Rush Yards Allowed,Rushing TD Allowed,Receptions Allowed,Receiving Yards Allowed,Receiving TD Allowed,Targets Allowed,Offensive Yards Allowed,Total TD Allowed,Pass Yards Per Game,Pass TD Per Game,Rush Attempts Per Game,Rush Yards Per Game,Rush TD Per Game,Receptions Per Game,Receiving Yards Per Game,Receiving TD Per Game,Targets Per Game,PPR Points Per Game,Offensive Yards Per Game,Total TD Made Per Game,Pass Yards Allowed Per Game,Passing TD Allowed Per Game,Rush Attempts Allowed Per Game,Rush Yards Allowed Per Game,Rushing TD Allowed Per Game,Receptions Allowed Per Game,Receiving Yards Allowed Per Game,Receiving TD Allowed Per Game,Targets Allowed Per Game,Offensive Yards Allowed Per Game,Total TD Allowed Per Game
BUF,2,582,5,57,289,5,40,582,5,56,230.38,871,10,601,6,52,190,2,52,601,6,75,791,8,291.0,2.5,28.5,144.5,2.5,20.0,291.0,2.5,28.0,115.19,435.5,5.0,300.5,3.0,26.0,95.0,1.0,26.0,300.5,3.0,37.5,395.5,4.0
DET,2,533,6,53,231,2,52,533,6,77,221.72,764,8,658,6,61,294,4,55,658,6,80,952,10,266.5,3.0,26.5,115.5,1.0,26.0,266.5,3.0,38.5,110.86,382.0,4.0,329.0,3.0,30.5,147.0,2.0,27.5,329.0,3.0,40.0,476.0,5.0
CHI,1,269,2,39,291,6,21,269,2,26,143.76,560,8,361,3,22,125,2,23,361,3,34,486,5,269.0,2.0,39.0,291.0,6.0,21.0,269.0,2.0,26.0,143.76,560.0,8.0,361.0,3.0,22.0,125.0,2.0,23.0,361.0,3.0,34.0,486.0,5.0
BAL,1,324,1,37,202,4,17,324,1,24,116.56,526,5,166,1,20,102,2,19,166,1,29,268,3,324.0,1.0,37.0,202.0,4.0,17.0,324.0,1.0,24.0,116.56,526.0,5.0,166.0,1.0,20.0,102.0,2.0,19.0,166.0,1.0,29.0,268.0,3.0
CAR,1,361,3,22,125,2,23,361,3,34,126.03999999999999,486,5,269,2,39,291,6,21,269,2,26,560,8,361.0,3.0,22.0,125.0,2.0,23.0,361.0,3.0,34.0,126.04,486.0,5.0,269.0,2.0,39.0,291.0,6.0,21.0,269.0,2.0,26.0,560.0,8.0
MIN,1,151,3,34,107,2,15,151,3,23,86.84,258,5,387,2,21,66,0,21,387,2,40,453,2,151.0,3.0,34.0,107.0,2.0,15.0,151.0,3.0,23.0,86.84,258.0,5.0,387.0,2.0,21.0,66.0,0.0,21.0,387.0,2.0,40.0,453.0,2.0
NO,1,410,3,25,91,1,35,410,3,52,133.5,501,4,206,2,33,165,2,26,206,2,39,371,4,410.0,3.0,25.0,91.0,1.0,35.0,410.0,3.0,52.0,133.5,501.0,4.0,206.0,2.0,33.0,165.0,2.0,26.0,206.0,2.0,39.0,371.0,4.0
KC,1,184,2,38,220,2,15,184,2,25,92.76,404,4,131,1,15,61,0,17,131,1,27,192,1,184.0,2.0,38.0,220.0,2.0,15.0,184.0,2.0,25.0,92.76,404.0,4.0,131.0,1.0,15.0,61.0,0.0,17.0,131.0,1.0,27.0,192.0,1.0
HOU,1,274,2,32,124,2,26,274,2,37,108.76,398,4,334,2,21,86,2,20,334,2,28,420,4,274.0,2.0,32.0,124.0,2.0,26.0,274.0,2.0,37.0,108.76,398.0,4.0,334.0,2.0,21.0,86.0,2.0,20.0,334.0,2.0,28.0,420.0,4.0
NYG,1,230,3,37,165,1,23,230,3,29,107.7,395,4,175,2,18,69,1,22,175,2,30,244,3,230.0,3.0,37.0,165.0,1.0,23.0,230.0,3.0,29.0,107.7,395.0,4.0,175.0,2.0,18.0,69.0,1.0,22.0,175.0,2.0,30.0,244.0,3.0
JAX,1,245,4,32,126,0,18,245,4,21,104.9,371,4,205,1,22,87,0,16,205,1,22,292,1,245.0,4.0,32.0,126.0,0.0,18.0,245.0,4.0,21.0,104.9,371.0,4.0,205.0,1.0,22.0,87.0,0.0,16.0,205.0,1.0,22.0,292.0,1.0
SF,1,205,3,30,174,0,25,205,3,34,99.1,379,3,168,0,29,122,1,17,168,0,27,290,1,205.0,3.0,30.0,174.0,0.0,25.0,205.0,3.0,34.0,99.1,379.0,3.0,168.0,0.0,29.0,122.0,1.0,17.0,168.0,0.0,27.0,290.0,1.0
PHI,1,203,3,25,136,0,14,203,3,22,86.02,339,3,164,2,32,132,1,18,164,2,29,296,3,203.0,3.0,25.0,136.0,0.0,14.0,203.0,3.0,22.0,86.02,339.0,3.0,164.0,2.0,32.0,132.0,1.0,18.0,164.0,2.0,29.0,296.0,3.0
WSH,1,164,2,32,132,1,18,164,2,29,80.16,296,3,203,3,25,136,0,14,203,3,22,339,3,164.0,2.0,32.0,132.0,1.0,18.0,164.0,2.0,29.0,80.16,296.0,3.0,203.0,3.0,25.0,136.0,0.0,14.0,203.0,3.0,22.0,339.0,3.0
LV,1,160,3,37,130,0,21,160,3,29,82.4,290,3,220,0,18,74,1,15,220,0,27,294,1,160.0,3.0,37.0,130.0,0.0,21.0,160.0,3.0,29.0,82.4,290.0,3.0,220.0,0.0,18.0,74.0,1.0,15.0,220.0,0.0,27.0,294.0,1.0
IND,1,166,1,20,102,2,19,166,1,29,72.44,268,3,324,1,37,202,4,17,324,1,24,526,5,166.0,1.0,20.0,102.0,2.0,19.0,166.0,1.0,29.0,72.44,268.0,3.0,324.0,1.0,37.0,202.0,4.0,17.0,324.0,1.0,24.0,526.0,5.0
DAL,1,175,2,18,69,1,22,175,2,30,77.4,244,3,230,3,37,165,1,23,230,3,29,395,4,175.0,2.0,18.0,69.0,1.0,22.0,175.0,2.0,30.0,77.4,244.0,3.0,230.0,3.0,37.0,165.0,1.0,23.0,230.0,3.0,29.0,395.0,4.0
GB,1,387,2,21,66,0,21,387,2,40,99.78,453,2,151,3,34,107,2,15,151,3,23,258,5,387.0,2.0,21.0,66.0,0.0,21.0,387.0,2.0,40.0,99.78,453.0,2.0,151.0,3.0,34.0,107.0,2.0,15.0,151.0,3.0,23.0,258.0,5.0
ARI,1,277,1,34,116,1,27,277,1,37,93.38,393,2,209,1,21,81,1,17,209,1,27,290,2,277.0,1.0,34.0,116.0,1.0,27.0,277.0,1.0,37.0,93.38,393.0,2.0,209.0,1.0,21.0,81.0,1.0,17.0,209.0,1.0,27.0,290.0,2.0
NYJ,1,215,0,39,152,2,19,215,0,23,76.3,367,2,140,1,14,68,0,19,140,1,28,208,1,215.0,0.0,39.0,152.0,2.0,19.0,215.0,0.0,23.0,76.3,367.0,2.0,140.0,1.0,14.0,68.0,0.0,19.0,140.0,1.0,28.0,208.0,1.0
CIN,1,254,1,27,106,1,25,254,1,34,85.16,360,2,216,0,20,89,2,23,216,0,27,305,2,254.0,1.0,27.0,106.0,1.0,25.0,254.0,1.0,34.0,85.16,360.0,2.0,216.0,0.0,20.0,89.0,2.0,23.0,216.0,0.0,27.0,305.0,2.0
TB,1,216,0,20,89,2,23,216,0,27,74.14,305,2,254,1,27,106,1,25,254,1,34,360,2,216.0,0.0,20.0,89.0,2.0,23.0,216.0,0.0,27.0,74.14,305.0,2.0,254.0,1.0,27.0,106.0,1.0,25.0,254.0,1.0,34.0,360.0,2.0
LAC,1,209,1,21,81,1,17,209,1,27,68.36,290,2,277,1,34,116,1,27,277,1,37,393,2,209.0,1.0,21.0,81.0,1.0,17.0,209.0,1.0,27.0,68.36,290.0,2.0,277.0,1.0,34.0,116.0,1.0,27.0,277.0,1.0,37.0,393.0,2.0
SEA,1,200,1,22,97,0,17,200,1,24,64.7,297,1,178,1,31,109,0,23,178,1,31,287,1,200.0,1.0,22.0,97.0,0.0,17.0,200.0,1.0,24.0,64.7,297.0,1.0,178.0,1.0,31.0,109.0,0.0,23.0,178.0,1.0,31.0,287.0,1.0
MIA,1,220,0,18,74,1,15,220,0,27,57.2,294,1,160,3,37,130,0,21,160,3,29,290,3,220.0,0.0,18.0,74.0,1.0,15.0,220.0,0.0,27.0,57.2,294.0,1.0,160.0,3.0,37.0,130.0,0.0,21.0,160.0,3.0,29.0,290.0,3.0
CLE,1,205,1,22,87,0,16,205,1,22,61.4,292,1,245,4,32,126,0,18,245,4,21,371,4,205.0,1.0,22.0,87.0,0.0,16.0,205.0,1.0,22.0,61.4,292.0,1.0,245.0,4.0,32.0,126.0,0.0,18.0,245.0,4.0,21.0,371.0,4.0
LAR,1,168,0,29,122,1,17,168,0,27,56.72,290,1,205,3,30,174,0,25,205,3,34,379,3,168.0,0.0,29.0,122.0,1.0,17.0,168.0,0.0,27.0,56.72,290.0,1.0,205.0,3.0,30.0,174.0,0.0,25.0,205.0,3.0,34.0,379.0,3.0
NE,1,178,1,31,109,0,23,178,1,31,62.82,287,1,200,1,22,97,0,17,200,1,24,297,1,178.0,1.0,31.0,109.0,0.0,23.0,178.0,1.0,31.0,62.82,287.0,1.0,200.0,1.0,22.0,97.0,0.0,17.0,200.0,1.0,24.0,297.0,1.0
PIT,1,221,1,21,58,0,24,221,1,37,70.74,279,1,143,1,31,120,0,12,143,1,19,263,1,221.0,1.0,21.0,58.0,0.0,24.0,221.0,1.0,37.0,70.74,279.0,1.0,143.0,1.0,31.0,120.0,0.0,12.0,143.0,1.0,19.0,263.0,1.0
ATL,1,143,1,31,120,0,12,143,1,19,50.02,263,1,221,1,21,58,0,24,221,1,37,279,1,143.0,1.0,31.0,120.0,0.0,12.0,143.0,1.0,19.0,50.02,263.0,1.0,221.0,1.0,21.0,58.0,0.0,24.0,221.0,1.0,37.0,279.0,1.0
TEN,1,140,1,14,68,0,19,140,1,28,55.4,208,1,215,0,39,152,2,19,215,0,23,367,2,140.0,1.0,14.0,68.0,0.0,19.0,140.0,1.0,28.0,55.4,208.0,1.0,215.0,0.0,39.0,152.0,2.0,19.0,215.0,0.0,23.0,367.0,2.0
DEN,1,131,1,15,61,0,17,131,1,27,49.44,192,1,184,2,38,220,2,15,184,2,25,404,4,131.0,1.0,15.0,61.0,0.0,17.0,131.0,1.0,27.0,49.44,192.0,1.0,184.0,2.0,38.0,220.0,2.0,15.0,184.0,2.0,25.0,404.0,4.0
